	sample	lambda
312	('EP120862', 19, 'EP120862_K190_BCKD.otu_table.biom')	0.0
313	('EP120862', 2, 'EP120862_K20_BCKD.otu_table.biom')	1.0
314	('EP120862', 21, 'EP120862_K210_BCKD.otu_table.biom')	1.0
315	('EP120862', 22, 'EP120862_K220_BCKD.otu_table.biom')	0.0
316	('EP120862', 25, 'EP120862_K250_BCKD.otu_table.biom')	0.0
317	('EP120862', 26, 'EP120862_K260_BCKD.otu_table.biom')	0.0
318	('EP120862', 28, 'EP120862_K280_BCKD.otu_table.biom')	0.0
319	('EP120862', 3, 'EP120862_K30_MCKD.otu_table.biom')	0.0
320	('EP120862', 31, 'EP120862_K310_BCKD.otu_table.biom')	0.0
321	('EP120862', 32, 'EP120862_K320_BCKD.otu_table.biom')	0.0
322	('EP120862', 34, 'EP120862_K340_BCKD.otu_table.biom')	0.0
323	('EP120862', 35, 'EP120862_K350_BCKD.otu_table.biom')	0.0
324	('EP120862', 37, 'EP120862_K370_BCKD.otu_table.biom')	0.0
325	('EP120862', 39, 'EP120862_K390_BCKD.otu_table.biom')	0.0
326	('EP120862', 40, 'EP120862_K400_BCKD.otu_table.biom')	0.0
327	('EP120862', 43, 'EP120862_K430_BCKD.otu_table.biom')	0.0
328	('EP120862', 44, 'EP120862_K440_BCKD.otu_table.biom')	0.0
329	('EP120862', 46, 'EP120862_K460_BCKD.otu_table.biom')	0.0
330	('EP120862', 6, 'EP120862_K60_BCKD.otu_table.biom')	0.0
331	('EP120862', 7, 'EP120862_K70_BCKD.otu_table.biom')	0.0
332	('EP120862', 8, 'EP120862_K80_BCKD.otu_table.biom')	0.0
333	('EP120862', 9, 'EP120862_K90_BCKD.otu_table.biom')	0.0
334	('EP123900', 1, 'EP123900_K10_MCKD.otu_table.biom')	1.0
335	('EP123900', 11, 'EP123900_K110_BCKD.otu_table.biom')	1.0
336	('EP123900', 2, 'EP123900_K20_MCKD.otu_table.biom')	0.0
337	('EP123900', 3, 'EP123900_K30_MCKD.otu_table.biom')	0.0
338	('EP123900', 4, 'EP123900_K40_MCKD.otu_table.biom')	0.0
339	('EP123900', 5, 'EP123900_K50_MCKD.otu_table.biom')	1.0
340	('EP123900', 7, 'EP123900_K70_BCKD.otu_table.biom')	0.0
341	('EP126323', 1, 'EP126323_K10_MCKD.otu_table.biom')	0.0
342	('EP126323', 15, 'EP126323_K150_BCKD.otu_table.biom')	0.0
343	('EP126323', 2, 'EP126323_K20_MCKD.otu_table.biom')	0.0
344	('EP126323', 6, 'EP126323_K60_BCKD.otu_table.biom')	0.0
345	('EP129024', 2, 'EP129024_K20_MCKD.otu_table.biom')	0.0
346	('EP129024', 3, 'EP129024_K30_MCKD.otu_table.biom')	0.0
347	('EP129024', 4, 'EP129024_K40_MCKD.otu_table.biom')	0.0
348	('EP129024', 8, 'EP129024_K80_MCKD.otu_table.biom')	0.0
349	('EP129024', 9, 'EP129024_K90_BCKD.otu_table.biom')	0.0
350	('EP129845', 11, 'EP129845_K110_BCKD.otu_table.biom')	0.0
351	('EP129845', 12, 'EP129845_K120_MCKD.otu_table.biom')	0.0
352	('EP129845', 2, 'EP129845_K20_MCKD.otu_table.biom')	0.0
353	('EP129845', 4, 'EP129845_K40_MCKD.otu_table.biom')	0.0
354	('EP129845', 5, 'EP129845_K50_MCKD.otu_table.biom')	1.0
355	('EP129845', 6, 'EP129845_K60_MCKD.otu_table.biom')	0.0
356	('EP129845', 8, 'EP129845_K80_BCKD.otu_table.biom')	0.0
